Shipment_ID,Origin_Hub,Destination_City,Courier_Partner,Distance_KM,Expected_Days,Actual_Days,Shipping_Cost_SAR,Weight_KG,Delivery_Status,Is_Delayed
KSA-LOG-1034,Madinah Distribution Center,Khobar,SAL Express,1232,4,4,141.24,7.07,On-Time,0
KSA-LOG-1035,NEOM Supply Hub,Riyadh,SAL Express,925,3,6,163.57,25.83,Delayed - Customs,1
KSA-LOG-1036,Riyadh Central Hub,Dammam,SMSA Express,1185,3,3,121.7,0.76,On-Time,0
KSA-LOG-1037,Jeddah Port Hub,Jeddah,SAL Express,999,3,5,222.3,46.95,Delayed - Weather,1
KSA-LOG-1038,Dammam Logistics Gateway,Dammam,SMSA Express,503,2,4,117.82,21.03,Delayed - Customs,1
KSA-LOG-1039,Riyadh Central Hub,Khobar,SAL Express,1248,4,4,175.89,20.42,On-Time,0
KSA-LOG-1040,Jeddah Port Hub,Madinah,Aramex KSA,1022,3,6,156.34,19.83,Delayed - Customs,1
KSA-LOG-1041,Riyadh Central Hub,Jeddah,SAL Express,1140,3,3,126.02,3.93,On-Time,0
KSA-LOG-1042,Jeddah Port Hub,Khobar,SMSA Express,1167,3,6,198.61,32.1,Delayed - Customs,1
KSA-LOG-1043,Madinah Distribution Center,Tabuk,SPL (Saudi Post),1327,4,4,223.11,36.78,On-Time,0
KSA-LOG-1044,Jeddah Port Hub,NEOM,Aramex KSA,1269,4,4,211.44,33.97,On-Time,0
KSA-LOG-1045,Dammam Logistics Gateway,Khobar,SMSA Express,443,2,2,78.82,7.35,On-Time,0
KSA-LOG-1046,Riyadh Central Hub,Dammam,SAL Express,358,1,1,126.52,29.15,On-Time,0
KSA-LOG-1047,Riyadh Central Hub,Jeddah,SAL Express,1261,4,4,197.6,28.69,On-Time,0
KSA-LOG-1048,Riyadh Central Hub,Dammam,Aramex KSA,967,3,3,211.08,43.49,On-Time,0
KSA-LOG-1049,Jeddah Port Hub,Jeddah,SPL (Saudi Post),539,2,2,116.3,19.27,On-Time,0
KSA-LOG-1050,Madinah Distribution Center,Khobar,Aramex KSA,474,2,2,110.15,18.89,On-Time,0
KSA-LOG-1051,NEOM Supply Hub,Riyadh,SMSA Express,1089,3,3,189.92,31.12,On-Time,0
KSA-LOG-1052,Madinah Distribution Center,Tabuk,Aramex KSA,1038,3,3,187.64,31.84,On-Time,0
KSA-LOG-1053,NEOM Supply Hub,Khobar,SMSA Express,1330,4,4,190.73,23.73,On-Time,0
KSA-LOG-1054,Dammam Logistics Gateway,Dammam,SAL Express,817,3,3,146.44,22.43,On-Time,0
KSA-LOG-1055,Madinah Distribution Center,NEOM,SMSA Express,782,2,2,149.96,24.96,On-Time,0
KSA-LOG-1056,Jeddah Port Hub,NEOM,SPL (Saudi Post),726,2,2,190.88,43.12,On-Time,0
KSA-LOG-1057,Jeddah Port Hub,Madinah,SAL Express,286,1,2,106.2,23.33,Delayed - Traffic/Route,1
KSA-LOG-1058,Jeddah Port Hub,Jeddah,Aramex KSA,577,2,5,188.74,47.03,Delayed - Warehouse,1
KSA-LOG-1059,Riyadh Central Hub,Dammam,SAL Express,761,2,2,149.5,25.45,On-Time,0
KSA-LOG-1060,Riyadh Central Hub,Madinah,SMSA Express,1060,3,3,228.52,47.49,On-Time,0
KSA-LOG-1061,Jeddah Port Hub,Dammam,SAL Express,968,3,3,206.76,41.73,On-Time,0
KSA-LOG-1062,NEOM Supply Hub,Jeddah,SMSA Express,290,1,1,94.3,18.44,On-Time,0
KSA-LOG-1063,Riyadh Central Hub,Khobar,Aramex KSA,1256,4,4,233.6,43.25,On-Time,0
KSA-LOG-1064,Jeddah Port Hub,Khobar,SAL Express,326,1,2,65.96,5.95,Delayed - Weather,1
KSA-LOG-1065,Riyadh Central Hub,NEOM,Aramex KSA,347,1,1,168.48,46.29,On-Time,0
KSA-LOG-1066,Jeddah Port Hub,Khobar,Aramex KSA,773,2,2,166.26,31.77,On-Time,0
KSA-LOG-1067,NEOM Supply Hub,Khobar,SPL (Saudi Post),840,3,3,100.18,3.19,On-Time,0
KSA-LOG-1068,Jeddah Port Hub,Riyadh,SAL Express,550,2,2,149.98,32.39,On-Time,0
KSA-LOG-1069,Madinah Distribution Center,NEOM,SMSA Express,620,2,2,196.42,48.73,On-Time,0
KSA-LOG-1070,NEOM Supply Hub,Madinah,SAL Express,367,1,1,64.26,3.96,On-Time,0
KSA-LOG-1071,Jeddah Port Hub,Tabuk,SPL (Saudi Post),1078,3,3,181.14,27.96,On-Time,0
KSA-LOG-1072,Jeddah Port Hub,Riyadh,SPL (Saudi Post),781,2,2,181.28,37.52,On-Time,0
KSA-LOG-1073,NEOM Supply Hub,Madinah,SMSA Express,1100,3,5,214.52,40.61,Delayed - Weather,1
KSA-LOG-1074,Dammam Logistics Gateway,Jeddah,Aramex KSA,1055,3,3,161.85,20.98,On-Time,0
KSA-LOG-1075,Dammam Logistics Gateway,Riyadh,SMSA Express,324,1,1,77.44,10.61,On-Time,0
KSA-LOG-1076,NEOM Supply Hub,Madinah,Aramex KSA,172,1,1,45.26,2.6,On-Time,0
KSA-LOG-1077,Jeddah Port Hub,Jeddah,SAL Express,384,1,4,128.72,29.2,Delayed - Customs,1
KSA-LOG-1078,Riyadh Central Hub,NEOM,Aramex KSA,1186,3,3,177.18,22.92,On-Time,0
KSA-LOG-1079,Jeddah Port Hub,Tabuk,SAL Express,1274,4,4,245.57,47.46,On-Time,0
KSA-LOG-1080,NEOM Supply Hub,Jeddah,Aramex KSA,1078,3,3,119.99,3.5,On-Time,0
KSA-LOG-1081,Dammam Logistics Gateway,Khobar,Aramex KSA,672,2,5,164.83,34.43,Delayed - Traffic/Route,1
KSA-LOG-1082,Riyadh Central Hub,Dammam,Aramex KSA,580,2,2,75.75,1.74,On-Time,0
KSA-LOG-1083,Jeddah Port Hub,Jeddah,SAL Express,942,3,3,122.84,8.99,On-Time,0
KSA-LOG-1084,Riyadh Central Hub,Jeddah,SAL Express,682,2,2,136.94,22.95,On-Time,0
KSA-LOG-1085,Riyadh Central Hub,Tabuk,SAL Express,1128,3,3,172.79,23.02,On-Time,0
KSA-LOG-1086,Dammam Logistics Gateway,Dammam,SMSA Express,959,3,3,187.82,34.44,On-Time,0
KSA-LOG-1087,Dammam Logistics Gateway,Khobar,SAL Express,1062,3,3,223.86,45.56,On-Time,0
KSA-LOG-1088,NEOM Supply Hub,Madinah,SPL (Saudi Post),1274,4,4,207.24,32.13,On-Time,0
KSA-LOG-1089,Riyadh Central Hub,Madinah,SMSA Express,1020,3,3,225.85,47.7,On-Time,0
KSA-LOG-1090,Jeddah Port Hub,Jeddah,SAL Express,689,2,5,190.47,44.14,Delayed - Traffic/Route,1
KSA-LOG-1091,Dammam Logistics Gateway,Dammam,SMSA Express,1173,3,3,192.42,29.43,On-Time,0
KSA-LOG-1092,NEOM Supply Hub,Dammam,SMSA Express,376,1,1,159.5,41.77,On-Time,0
KSA-LOG-1093,Dammam Logistics Gateway,Khobar,Aramex KSA,1022,3,5,187.54,32.31,Delayed - Traffic/Route,1
KSA-LOG-1094,NEOM Supply Hub,Tabuk,SMSA Express,1041,3,3,119.26,4.39,On-Time,0
KSA-LOG-1095,Riyadh Central Hub,NEOM,SPL (Saudi Post),1186,3,4,212.78,37.16,Delayed - Customs,1
KSA-LOG-1096,Riyadh Central Hub,Madinah,SMSA Express,359,1,1,66.72,5.2,On-Time,0
KSA-LOG-1097,Riyadh Central Hub,Tabuk,SPL (Saudi Post),890,3,3,170.98,29.91,On-Time,0
KSA-LOG-1098,Jeddah Port Hub,Riyadh,SPL (Saudi Post),546,2,2,156.88,35.28,On-Time,0
KSA-LOG-1099,Jeddah Port Hub,Madinah,SAL Express,1273,4,6,136.32,3.79,Delayed - Customs,1
KSA-LOG-1100,Jeddah Port Hub,Tabuk,SPL (Saudi Post),180,1,1,69.2,11.92,On-Time,0
KSA-LOG-1101,Dammam Logistics Gateway,Madinah,SAL Express,1047,3,5,223.33,45.83,Delayed - Customs,1
KSA-LOG-1102,Riyadh Central Hub,NEOM,Aramex KSA,798,2,2,166.36,31.01,On-Time,0
KSA-LOG-1103,Riyadh Central Hub,Riyadh,SMSA Express,478,2,2,94.96,12.69,On-Time,0
KSA-LOG-1104,Madinah Distribution Center,NEOM,SPL (Saudi Post),1339,4,4,218.84,34.69,On-Time,0
KSA-LOG-1105,Jeddah Port Hub,Khobar,SPL (Saudi Post),1101,3,3,188.18,30.04,On-Time,0
KSA-LOG-1106,Riyadh Central Hub,Riyadh,Aramex KSA,1273,4,7,190.16,25.33,Delayed - Traffic/Route,1
KSA-LOG-1107,NEOM Supply Hub,Jeddah,Aramex KSA,770,2,2,208.65,48.82,On-Time,0
KSA-LOG-1108,Jeddah Port Hub,Tabuk,SAL Express,1346,4,4,218.5,34.33,On-Time,0
KSA-LOG-1109,Jeddah Port Hub,Riyadh,SAL Express,311,1,1,97.58,19.08,On-Time,0
KSA-LOG-1110,Jeddah Port Hub,Khobar,SMSA Express,925,3,4,199.25,40.1,Delayed - Warehouse,1
KSA-LOG-1111,Jeddah Port Hub,Khobar,SAL Express,423,2,2,169.56,44.29,On-Time,0
KSA-LOG-1112,Madinah Distribution Center,NEOM,Aramex KSA,1176,3,3,135.83,6.7,On-Time,0
KSA-LOG-1113,NEOM Supply Hub,Madinah,SAL Express,1201,4,4,147.16,10.43,On-Time,0
KSA-LOG-1114,Dammam Logistics Gateway,Riyadh,SPL (Saudi Post),475,2,2,91.0,11.2,On-Time,0
KSA-LOG-1115,NEOM Supply Hub,Tabuk,Aramex KSA,1089,3,3,198.9,34.71,On-Time,0
KSA-LOG-1116,NEOM Supply Hub,Riyadh,Aramex KSA,1322,4,4,206.64,30.35,On-Time,0
KSA-LOG-1117,Jeddah Port Hub,Dammam,SAL Express,689,2,4,157.97,31.14,Delayed - Warehouse,1
KSA-LOG-1118,NEOM Supply Hub,Madinah,SPL (Saudi Post),637,2,2,193.64,47.07,On-Time,0
KSA-LOG-1119,Riyadh Central Hub,Tabuk,SPL (Saudi Post),971,3,6,199.96,38.91,Delayed - Weather,1
KSA-LOG-1120,NEOM Supply Hub,Tabuk,SMSA Express,1238,4,6,141.12,6.83,Delayed - Traffic/Route,1
KSA-LOG-1121,NEOM Supply Hub,Jeddah,Aramex KSA,505,2,2,109.65,17.7,On-Time,0
KSA-LOG-1122,Riyadh Central Hub,NEOM,Aramex KSA,384,1,3,110.84,22.05,Delayed - Warehouse,1
KSA-LOG-1123,Jeddah Port Hub,Jeddah,SAL Express,376,1,4,105.33,20.1,Delayed - Customs,1
KSA-LOG-1124,Jeddah Port Hub,Tabuk,SMSA Express,198,1,1,124.92,33.63,On-Time,0
KSA-LOG-1125,Riyadh Central Hub,Madinah,SMSA Express,267,1,1,157.99,44.65,On-Time,0
KSA-LOG-1126,NEOM Supply Hub,Riyadh,SAL Express,203,1,4,80.37,15.65,Delayed - Customs,1
KSA-LOG-1127,NEOM Supply Hub,Riyadh,SMSA Express,714,2,2,151.67,27.82,On-Time,0
KSA-LOG-1128,Jeddah Port Hub,Madinah,SAL Express,1217,4,4,221.31,39.58,On-Time,0
KSA-LOG-1129,Riyadh Central Hub,Tabuk,SAL Express,202,1,1,93.91,21.1,On-Time,0
KSA-LOG-1130,Riyadh Central Hub,Khobar,SAL Express,707,2,2,103.61,8.82,On-Time,0
KSA-LOG-1131,Jeddah Port Hub,Riyadh,SPL (Saudi Post),1275,4,5,187.02,24.01,Delayed - Warehouse,1
KSA-LOG-1132,Jeddah Port Hub,Khobar,SMSA Express,1017,3,3,114.44,3.23,On-Time,0
KSA-LOG-1133,Riyadh Central Hub,Riyadh,SPL (Saudi Post),547,2,2,186.64,47.15,On-Time,0
KSA-LOG-1134,Madinah Distribution Center,Riyadh,SMSA Express,1311,4,4,140.38,4.2,On-Time,0
KSA-LOG-1135,Riyadh Central Hub,NEOM,SAL Express,824,3,3,146.42,22.2,On-Time,0
KSA-LOG-1136,Riyadh Central Hub,NEOM,SMSA Express,536,2,2,134.7,26.73,On-Time,0
KSA-LOG-1137,Dammam Logistics Gateway,Dammam,SMSA Express,260,1,3,168.98,49.27,Delayed - Customs,1
KSA-LOG-1138,Riyadh Central Hub,Jeddah,SAL Express,763,2,2,107.84,8.72,On-Time,0
KSA-LOG-1139,Madinah Distribution Center,Madinah,Aramex KSA,166,1,1,53.68,6.16,On-Time,0
KSA-LOG-1140,Madinah Distribution Center,Madinah,SAL Express,1355,4,7,135.72,0.93,Delayed - Warehouse,1
KSA-LOG-1141,Jeddah Port Hub,Madinah,Aramex KSA,1033,3,6,128.14,8.2,Delayed - Warehouse,1
KSA-LOG-1142,Riyadh Central Hub,Dammam,Aramex KSA,690,2,2,107.1,10.76,On-Time,0
KSA-LOG-1143,Riyadh Central Hub,NEOM,SAL Express,320,1,1,129.88,31.71,On-Time,0
KSA-LOG-1144,Jeddah Port Hub,Tabuk,SAL Express,558,2,2,98.09,11.38,On-Time,0
KSA-LOG-1145,Jeddah Port Hub,Khobar,Aramex KSA,889,3,3,99.92,1.52,On-Time,0
KSA-LOG-1146,Dammam Logistics Gateway,Khobar,SMSA Express,1361,4,4,237.43,41.42,On-Time,0
KSA-LOG-1147,Riyadh Central Hub,Tabuk,SAL Express,1007,3,4,152.06,18.6,Delayed - Traffic/Route,1
KSA-LOG-1148,Jeddah Port Hub,Dammam,SPL (Saudi Post),379,1,1,100.34,18.01,On-Time,0
KSA-LOG-1149,Jeddah Port Hub,Tabuk,SAL Express,268,1,2,85.12,15.47,Delayed - Warehouse,1
KSA-LOG-1150,Madinah Distribution Center,Madinah,Aramex KSA,1329,4,4,253.27,48.78,On-Time,0
KSA-LOG-1151,Jeddah Port Hub,Jeddah,SPL (Saudi Post),933,3,3,121.94,8.92,On-Time,0
KSA-LOG-1152,Jeddah Port Hub,Riyadh,SAL Express,614,2,2,186.52,44.96,On-Time,0
KSA-LOG-1153,Riyadh Central Hub,Khobar,SAL Express,253,1,1,142.62,38.95,On-Time,0
KSA-LOG-1154,Madinah Distribution Center,NEOM,SAL Express,847,3,6,103.48,4.29,Delayed - Traffic/Route,1
KSA-LOG-1155,Jeddah Port Hub,NEOM,SAL Express,324,1,1,174.27,49.34,On-Time,0
KSA-LOG-1156,Dammam Logistics Gateway,Dammam,SAL Express,894,3,3,131.34,13.93,On-Time,0
KSA-LOG-1157,NEOM Supply Hub,NEOM,Aramex KSA,1307,4,4,143.01,5.38,On-Time,0
KSA-LOG-1158,Jeddah Port Hub,Madinah,SAL Express,814,3,3,194.0,41.55,On-Time,0
KSA-LOG-1159,Dammam Logistics Gateway,Khobar,SMSA Express,182,1,2,128.26,35.48,Delayed - Traffic/Route,1
KSA-LOG-1160,Riyadh Central Hub,Tabuk,SPL (Saudi Post),204,1,1,118.94,31.05,On-Time,0
KSA-LOG-1161,Dammam Logistics Gateway,Madinah,Aramex KSA,668,2,5,98.99,8.22,Delayed - Customs,1
KSA-LOG-1162,Dammam Logistics Gateway,Dammam,Aramex KSA,905,3,5,157.88,24.19,Delayed - Customs,1
KSA-LOG-1163,Riyadh Central Hub,Madinah,SAL Express,161,1,1,135.73,39.14,On-Time,0
KSA-LOG-1164,Jeddah Port Hub,Tabuk,Aramex KSA,869,3,3,133.34,15.53,On-Time,0
KSA-LOG-1165,NEOM Supply Hub,Jeddah,SMSA Express,704,2,2,121.14,15.93,On-Time,0
KSA-LOG-1166,Riyadh Central Hub,Dammam,SMSA Express,522,2,2,68.41,0.66,On-Time,0
KSA-LOG-1167,Jeddah Port Hub,Jeddah,SAL Express,633,2,2,98.46,9.13,On-Time,0
KSA-LOG-1168,Jeddah Port Hub,Riyadh,SPL (Saudi Post),1122,3,3,224.33,43.83,On-Time,0
KSA-LOG-1169,Dammam Logistics Gateway,Jeddah,SMSA Express,772,2,3,142.68,22.37,Delayed - Customs,1
KSA-LOG-1170,Dammam Logistics Gateway,Riyadh,SAL Express,456,2,2,184.53,49.22,On-Time,0
KSA-LOG-1171,Jeddah Port Hub,Riyadh,SMSA Express,606,2,4,123.71,20.09,Delayed - Traffic/Route,1
KSA-LOG-1172,Riyadh Central Hub,Jeddah,SMSA Express,309,1,3,139.47,35.9,Delayed - Customs,1
KSA-LOG-1173,Jeddah Port Hub,Dammam,Aramex KSA,480,2,2,99.52,14.45,On-Time,0
KSA-LOG-1174,Dammam Logistics Gateway,Tabuk,Aramex KSA,925,3,5,145.28,18.51,Delayed - Customs,1
KSA-LOG-1175,Jeddah Port Hub,Madinah,Aramex KSA,374,1,4,79.77,9.94,Delayed - Customs,1
KSA-LOG-1176,Dammam Logistics Gateway,Madinah,SAL Express,1132,3,5,159.76,17.68,Delayed - Traffic/Route,1
KSA-LOG-1177,Riyadh Central Hub,Tabuk,SMSA Express,878,3,5,164.21,27.59,Delayed - Warehouse,1
KSA-LOG-1178,Madinah Distribution Center,Khobar,SMSA Express,1218,4,4,246.42,49.59,On-Time,0
KSA-LOG-1179,Jeddah Port Hub,Khobar,SAL Express,1387,4,6,219.41,33.38,Delayed - Warehouse,1
KSA-LOG-1180,Riyadh Central Hub,Riyadh,SAL Express,1232,4,4,149.46,10.36,On-Time,0
KSA-LOG-1181,Jeddah Port Hub,Riyadh,Aramex KSA,793,2,2,95.26,2.73,On-Time,0
KSA-LOG-1182,Madinah Distribution Center,Dammam,SAL Express,765,2,2,103.08,6.75,On-Time,0
KSA-LOG-1183,NEOM Supply Hub,NEOM,SMSA Express,344,1,1,123.4,28.35,On-Time,0
KSA-LOG-1184,Jeddah Port Hub,Jeddah,SAL Express,638,2,5,171.99,38.38,Delayed - Weather,1
KSA-LOG-1185,Dammam Logistics Gateway,Riyadh,SAL Express,306,1,1,167.1,47.05,On-Time,0
KSA-LOG-1186,NEOM Supply Hub,Madinah,SAL Express,759,2,2,88.92,1.28,On-Time,0
KSA-LOG-1187,Dammam Logistics Gateway,Dammam,SPL (Saudi Post),1399,4,4,202.87,26.38,On-Time,0
KSA-LOG-1188,Riyadh Central Hub,Jeddah,Aramex KSA,561,2,2,129.4,23.81,On-Time,0
KSA-LOG-1189,Jeddah Port Hub,Dammam,SPL (Saudi Post),1378,4,4,217.67,32.97,On-Time,0
KSA-LOG-1190,Jeddah Port Hub,Jeddah,SMSA Express,1252,4,6,195.66,28.2,Delayed - Warehouse,1
KSA-LOG-1191,NEOM Supply Hub,Jeddah,SAL Express,1297,4,4,215.03,34.51,On-Time,0
KSA-LOG-1192,Madinah Distribution Center,Tabuk,SMSA Express,620,2,2,157.3,33.08,On-Time,0
KSA-LOG-1193,Dammam Logistics Gateway,Riyadh,SMSA Express,1391,4,4,152.0,6.29,On-Time,0
KSA-LOG-1194,Riyadh Central Hub,Dammam,Aramex KSA,665,2,4,178.42,40.09,Delayed - Traffic/Route,1
KSA-LOG-1195,Riyadh Central Hub,Dammam,SAL Express,1277,4,5,143.66,6.6,Delayed - Weather,1
KSA-LOG-1196,Dammam Logistics Gateway,Tabuk,SMSA Express,542,2,5,156.06,35.08,Delayed - Traffic/Route,1
KSA-LOG-1197,NEOM Supply Hub,Madinah,SAL Express,780,2,4,140.15,21.1,Delayed - Customs,1
KSA-LOG-1198,NEOM Supply Hub,Madinah,SAL Express,757,2,2,150.41,25.94,On-Time,0
KSA-LOG-1199,NEOM Supply Hub,Khobar,Aramex KSA,1129,3,3,228.35,45.21,On-Time,0
KSA-LOG-1200,Dammam Logistics Gateway,Riyadh,SMSA Express,583,2,2,183.02,44.55,On-Time,0
KSA-LOG-1201,Jeddah Port Hub,Riyadh,SMSA Express,1316,4,4,232.73,40.98,On-Time,0
KSA-LOG-1202,Jeddah Port Hub,NEOM,SMSA Express,689,2,2,144.5,25.75,On-Time,0
KSA-LOG-1203,NEOM Supply Hub,Tabuk,SMSA Express,427,2,2,151.51,36.94,On-Time,0
KSA-LOG-1204,Dammam Logistics Gateway,Madinah,Aramex KSA,382,1,2,120.28,25.89,Delayed - Warehouse,1
KSA-LOG-1205,Jeddah Port Hub,Jeddah,SPL (Saudi Post),1263,4,7,234.92,43.55,Delayed - Customs,1
KSA-LOG-1206,Jeddah Port Hub,Dammam,SPL (Saudi Post),1372,4,4,185.86,20.44,On-Time,0
KSA-LOG-1207,Dammam Logistics Gateway,Riyadh,Aramex KSA,511,2,2,187.2,48.53,On-Time,0
KSA-LOG-1208,Jeddah Port Hub,Dammam,SAL Express,175,1,1,155.62,46.65,On-Time,0
KSA-LOG-1209,Jeddah Port Hub,Dammam,Aramex KSA,1198,3,6,213.86,37.21,Delayed - Weather,1
KSA-LOG-1210,Riyadh Central Hub,NEOM,SMSA Express,656,2,2,113.3,14.33,On-Time,0
KSA-LOG-1211,Dammam Logistics Gateway,Madinah,SAL Express,416,2,2,75.83,7.02,On-Time,0
KSA-LOG-1212,Dammam Logistics Gateway,Riyadh,Aramex KSA,610,2,2,180.82,42.81,On-Time,0
KSA-LOG-1213,Jeddah Port Hub,Dammam,SAL Express,605,2,2,95.1,8.68,On-Time,0
KSA-LOG-1214,Dammam Logistics Gateway,Riyadh,SPL (Saudi Post),1241,4,4,231.26,42.79,On-Time,0
KSA-LOG-1215,Jeddah Port Hub,Jeddah,SMSA Express,1156,3,3,179.46,24.79,On-Time,0
KSA-LOG-1216,Riyadh Central Hub,NEOM,Aramex KSA,1012,3,3,157.51,20.62,On-Time,0
KSA-LOG-1217,Dammam Logistics Gateway,Jeddah,Aramex KSA,640,2,5,189.23,45.21,Delayed - Traffic/Route,1
KSA-LOG-1218,Dammam Logistics Gateway,Riyadh,SPL (Saudi Post),1222,4,4,198.74,30.39,On-Time,0
KSA-LOG-1219,NEOM Supply Hub,Khobar,Aramex KSA,713,2,2,154.64,29.04,On-Time,0
KSA-LOG-1220,Dammam Logistics Gateway,Riyadh,Aramex KSA,1275,4,7,197.4,28.16,Delayed - Customs,1
KSA-LOG-1221,Dammam Logistics Gateway,Madinah,SAL Express,365,1,1,101.38,18.87,On-Time,0
KSA-LOG-1222,Jeddah Port Hub,Dammam,SMSA Express,708,2,2,180.12,39.39,On-Time,0
KSA-LOG-1223,Riyadh Central Hub,Dammam,SAL Express,308,1,1,82.16,13.01,On-Time,0
KSA-LOG-1224,Jeddah Port Hub,Jeddah,Aramex KSA,638,2,2,193.49,46.98,On-Time,0
KSA-LOG-1225,Jeddah Port Hub,NEOM,SMSA Express,835,3,6,203.68,44.75,Delayed - Customs,1
KSA-LOG-1226,Madinah Distribution Center,Khobar,Aramex KSA,943,3,3,143.46,17.21,On-Time,0
KSA-LOG-1227,Riyadh Central Hub,Tabuk,SAL Express,154,1,1,128.84,36.61,On-Time,0
KSA-LOG-1228,NEOM Supply Hub,Dammam,SAL Express,510,2,2,137.98,28.87,On-Time,0
KSA-LOG-1229,Dammam Logistics Gateway,Madinah,Aramex KSA,608,2,2,116.66,17.21,On-Time,0
KSA-LOG-1230,NEOM Supply Hub,Jeddah,SAL Express,397,1,1,180.34,49.43,On-Time,0
KSA-LOG-1231,Riyadh Central Hub,Jeddah,SAL Express,1095,3,3,116.98,1.75,On-Time,0
KSA-LOG-1232,Dammam Logistics Gateway,Tabuk,SAL Express,571,2,5,103.21,13.01,Delayed - Traffic/Route,1
KSA-LOG-1233,Riyadh Central Hub,Madinah,SPL (Saudi Post),164,1,1,103.72,26.24,On-Time,0
KSA-LOG-1234,Jeddah Port Hub,NEOM,Aramex KSA,885,3,5,161.65,26.34,Delayed - Customs,1
KSA-LOG-1235,Dammam Logistics Gateway,Madinah,SMSA Express,1295,4,4,202.73,29.65,On-Time,0
KSA-LOG-1236,Jeddah Port Hub,NEOM,SAL Express,426,2,2,153.36,37.71,On-Time,0
